State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
MH,Parbhani,1835982,13,1,9,0,44477,20480
MH,Pune,9426959,1536,20,5294,0,85256,136336
MH,Raigad,2635394,267,10,359,0,21737,31684
MH,Ratnagiri,1612672,91,4,160,0,10880,7924
MH,Sangli,2820575,155,4,375,0,11974,19041
MH,Satara,3003922,157,17,501,0,16690,30950
MH,Sindhudurg,848868,91,4,259,0,3915,5195
MH,Solapur,4315527,253,11,370,0,77398,34204
MH,Thane,11060148,1241,44,3002,0,108643,120708
MH,Wardha,1296157,5,0,4,0,16481,14040
MH,Washim,1196714,4,0,5,0,30932,19238
MH,Yavatmal,2775457,6,0,7,0,56233,26091
ML,East Garo Hills,317618,5,0,2,0,482,1424
ML,East Jaintia Hills,122436,2,0,3,0,483,2964
ML,East Khasi Hills,824059,171,2,286,0,1847,10698
ML,North Garo Hills,118325,3,0,2,0,596,3614
ML,Ribhoi,258380,14,0,23,0,884,3492
ML,South Garo Hills,142574,0,0,1,0,329,1346
ML,South West Garo Hills,172495,3,0,3,0,924,4509
ML,South West Khasi Hills,110152,6,0,1,0,61,552
ML,West Garo Hills,642923,8,0,11,0,1409,8093
ML,West Jaintia Hills,270352,11,2,31,0,411,3480
ML,West Khasi Hills,385601,33,0,97,0,443,1763
MN,Bishnupur,240363,0,0,0,0,685,8679
MN,Chandel,144028,0,0,0,0,98,1337
MN,Churachandpur,271274,0,0,0,0,345,3560
MN,Imphal East,452661,0,0,0,0,2402,19169
MN,Imphal West,514683,0,0,0,0,1861,17353
MN,Jiribam,43818,0,0,0,0,70,1927
MN,Kakching,135481,0,0,0,0,214,2450
MN,Kamjong,45616,0,0,0,0,129,736
MN,Kangpokpi,45616,0,0,0,0,291,1472
MN,Noney,45616,0,0,0,0,98,1211
MN,Pherzawl,47250,0,0,0,0,55,711
MN,Senapati,354772,0,0,0,0,425,1940
MN,Tamenglong,140143,0,0,0,0,174,1204
MN,Tengnoupal,140143,0,0,0,0,93,1176
MN,Thoubal,420517,0,0,0,0,378,6574
MN,Ukhrul,183115,0,0,0,0,362,1775
MN,Unknown,183115,439,10,652,0,0,0
MP,Agar Malwa,183115,0,0,0,0,965,16911
MP,Alirajpur,728677,0,0,0,0,921,8076
MP,Anuppur,749521,0,0,0,0,995,18360
MP,Ashoknagar,844979,0,0,0,0,1258,17334
MP,Balaghat,1701156,2,0,0,0,15838,71692
MP,Barwani,1385659,0,0,0,0,1615,16619
MP,Betul,1575247,1,0,0,0,2361,31953
MP,Bhind,1703562,0,0,0,0,1525,30042
MP,Bhopal,2368145,38,0,0,0,4130,38750
MP,Burhanpur,756993,0,0,0,0,762,6561
MP,Chhatarpur,1762857,0,0,0,0,3103,27937
MP,Chhindwara,2090306,2,0,0,0,4654,93453
MP,Damoh,1263703,0,0,0,0,4298,52314
MP,Datia,786375,0,0,0,0,1963,45226
MP,Dewas,1563107,0,0,0,0,1804,22992
MP,Dhar,2184672,7,0,0,0,5034,83699
MP,Dindori,704218,0,0,0,0,1342,21481
MP,Guna,1240938,0,0,0,0,3347,32837
MP,Gwalior,2030543,2,0,0,0,8800,41193
MP,Harda,570302,0,0,0,0,1075,24810
MP,Hoshangabad,1240975,0,0,0,0,1498,39507
MP,Indore,3272335,39,0,0,0,4233,45203
MP,Jabalpur,2460714,3,0,0,0,5968,156306
MP,Jhabua,1024091,1,0,0,0,3578,21040
MP,Katni,1291684,0,0,0,0,2926,42360
MP,Khandwa,1309443,0,0,0,0,880,13668
MP,Khargone,1872413,0,0,0,0,3049,32932
MP,Mandla,1053522,0,0,0,0,2286,53670
MP,Mandsaur,1339832,0,0,0,0,2058,37337
MP,Morena,1965137,0,0,0,0,2814,112629
MP,Narsinghpur,1092141,5,0,0,0,1266,34365
MP,Neemuch,825958,0,0,0,0,970,17955
MP,Panna,1016028,0,0,0,0,2633,18657
MP,Raisen,1331699,0,0,0,0,1644,22044
MP,Rajgarh,1546541,1,0,0,0,2483,41531
MP,Ratlam,1454483,0,0,0,0,1894,51080
MP,Rewa,2363744,0,0,0,0,6664,104963
MP,Sagar,2378295,2,0,0,0,6321,60800
MP,Satna,2228619,0,0,0,0,3426,40519
MP,Sehore,1311008,0,0,0,0,2325,32101
MP,Seoni,1378876,0,0,0,0,2162,38081
MP,Shahdol,1064989,0,0,0,0,857,22928
MP,Shajapur,1512353,0,0,0,0,1971,51596
MP,Sheopur,687952,0,0,0,0,1338,16952
MP,Shivpuri,1725818,0,0,0,0,3082,38901
MP,Sidhi,1126515,0,0,0,0,1867,19145
MP,Singrauli,1178132,1,0,0,0,3052,21200
MP,Tikamgarh,1444920,0,0,0,0,3331,24497
MP,Ujjain,1986864,1,0,0,0,4210,65566
MP,Umaria,643579,0,0,0,0,955,28084
MP,Unknown,643579,0,1,74,0,0,0
MP,Vidisha,1458212,0,0,0,0,1222,26130
MZ,Aizawl,404054,1996,6,3014,0,443,3740
MZ,Champhai,125370,299,3,319,0,344,572
MZ,Hnahthial,125370,143,0,185,0,0,0
MZ,Khawzawl,125370,42,0,26,0,0,0
MZ,Kolasib,83054,94,0,154,0,153,738
MZ,Lawngtlai,117444,98,1,245,0,2765,1838
MZ,Lunglei,154094,662,1,507,0,263,1493
MZ,Mamit,85757,241,5,265,0,228,1322
MZ,Saiha,56366,107,5,345,0,68,1116
MZ,Saitual,56366,30,0,53,0,0,0
MZ,Serchhip,64875,386,0,572,0,36,431
NL,Dimapur,379769,68,2,73,0,2827,12731
NL,Kiphire,74033,2,0,1,0,116,357
NL,Kohima,270063,23,0,24,0,509,3038
NL,Longleng,50593,0,0,7,0,26,181
NL,Mokokchung,193171,23,2,5,0,146,2026
NL,Mon,259604,1,0,0,0,243,1864
NL,Peren,163294,1,0,1,0,189,613
NL,Phek,163294,4,0,1,0,99,496
NL,Tuensang,414801,2,1,28,0,106,525
NL,Wokha,166239,6,0,4,0,122,1074
NL,Zunheboto,141014,0,1,0,0,331,807
OR,Angul,1271703,16,2,20,0,21629,23378
OR,Balangir,1648574,4,0,15,0,20119,39059
OR,Balasore,2317419,67,1,80,0,78274,35314
OR,Bargarh,1478833,18,0,16,0,52192,32028
OR,Bhadrak,1506522,44,1,39,0,14511,38206
OR,Boudh,439917,0,0,4,0,7009,16754
OR,Cuttack,2618708,277,1,304,0,75381,45717
OR,Deogarh,312164,41,0,10,0,1126,4779
OR,Dhenkanal,1192948,25,0,16,0,18302,23327
OR,Gajapati,575880,15,0,11,0,4770,10942
OR,Ganjam,3520151,22,0,18,0,27002,112716
OR,Jagatsinghpur,1136604,76,1,78,0,28276,25051
OR,Jajpur,1826275,75,0,73,0,30726,37471
OR,Jharsuguda,579499,13,0,10,0,7187,14725
OR,Kalahandi,1573054,15,0,1,0,38214,26926
OR,Kandhamal,731952,0,0,5,0,12881,12319
OR,Kendrapara,1439891,62,1,52,0,28635,34297
OR,Kendujhar,1802777,4,2,3,0,25529,46488
OR,Khordha,2246341,1492,8,1654,0,34733,49859
OR,Koraput,1376934,11,0,20,0,13011,35701
OR,Malkangiri,612727,2,0,4,0,13449,16141
OR,Mayurbhanj,2513895,126,5,93,0,86170,36315
OR,Nabarangapur,1218762,1,0,2,0,13213,18025
OR,Nayagarh,962215,28,1,24,0,7145,22575
OR,Nuapada,606490,36,0,5,0,3391,14721
OR,Puri,1697983,68,1,69,0,25187,40854
OR,Rayagada,961959,18,0,16,0,5781,16558
OR,Sambalpur,1044410,88,0,113,0,8960,31518
OR,State Pool,1044410,338,0,401,0,0,0
OR,Subarnapur,652107,5,0,3,0,8102,31803
OR,Sundargarh,2080664,59,0,71,0,19935,22587
PB,Amritsar,2490891,23,2,9,0,23376,18084
PB,Barnala,596294,2,0,0,0,9552,5253
PB,Bathinda,1388859,15,0,8,0,8246,6940
PB,Faridkot,618008,7,0,7,0,3048,4201
PB,Fatehgarh Sahib,599814,2,1,1,0,2513,4804
PB,Fazilka,1180483,8,0,4,0,8408,5707
PB,Ferozepur,2026831,13,0,9,0,4483,4723
PB,Gurdaspur,2299026,3,1,3,0,18212,26825
PB,Hoshiarpur,1582793,10,2,12,0,6567,17487
PB,Jalandhar,2181753,20,1,12,0,13877,22309
PB,Kapurthala,817668,2,0,7,0,5387,6146
PB,Ludhiana,3487882,16,1,24,0,41184,30055
PB,Mansa,768808,0,0,1,0,5340,4111
PB,Moga,992289,1,0,8,0,5076,6757
PB,Pathankot,626154,20,0,7,0,1762,6090
PB,Patiala,2892282,6,0,15,0,7659,10721
PB,Rupnagar,683349,20,0,7,0,1965,5708
PB,S.A.S. Nagar,986147,18,0,21,0,4914,9234
PB,Sangrur,1654408,3,0,3,0,13224,9058
PB,Shahid Bhagat Singh Nagar,614362,1,0,1,0,2473,4917
PB,Sri Muktsar Sahib,902702,2,0,0,0,3942,5830
PB,Tarn Taran,1120070,0,0,3,0,8846,8145
PY,Karaikal,200222,53,0,63,0,763,2980
PY,Mahe,41816,58,0,46,0,109,1003
PY,Puducherry,950289,163,0,202,0,7191,15005
PY,Yanam,55626,4,0,4,0,259,1082
RJ,Ajmer,2584913,6,0,8,0,9133,56199
RJ,Alwar,3671999,0,0,0,0,21681,29417
